Order ID,Order Date,Region,City,Customer Segment,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Ship Mode
ORD-10128,2024-01-21,South,Bengaluru,Corporate,Electronics,Mobiles,1,20310.67,0.15,17264.07,812.22,Express
ORD-11586,2024-01-21,East,Patna,Consumer,Electronics,Mobiles,7,19732.83,0.05,131223.31,10350.38,Express
ORD-11267,2024-01-21,South,Kochi,Corporate,Electronics,Laptops,1,40029.7,0.0,40029.7,5996.67,Express
ORD-11438,2024-01-21,East,Patna,Consumer,Electronics,Laptops,3,37504.9,0.15,95637.5,3124.47,Express
ORD-10637,2024-01-22,East,Kolkata,Consumer,Electronics,Cameras,7,43626.89,0.2,244310.59,5117.63,Express
ORD-10053,2024-01-22,West,Pune,Consumer,Furniture,Storage,2,13313.26,0.0,26626.52,3546.12,Standard
ORD-11420,2024-01-22,North,Jaipur,Consumer,Office Supplies,Art Supplies,3,2167.83,0.1,5853.15,304.85,Standard
ORD-10046,2024-01-22,South,Bengaluru,Consumer,Grocery,Personal Care,2,1373.11,0.1,2471.59,148.81,Standard
ORD-10965,2024-01-22,East,Patna,Consumer,Clothing,Menswear,3,927.37,0.0,2782.12,616.22,Express
ORD-11482,2024-01-22,South,Chennai,Corporate,Clothing,Kidswear,5,512.11,0.05,2432.5,447.13,Same Day
ORD-11119,2024-01-22,West,Mumbai,Small Business,Electronics,Accessories,5,39249.31,0.1,176621.91,3653.32,Standard
ORD-10694,2024-01-23,South,Hyderabad,Consumer,Clothing,Womenswear,6,705.98,0.15,3600.51,576.27,Standard
ORD-11732,2024-01-23,West,Pune,Consumer,Grocery,Snacks,3,508.55,0.1,1373.08,134.67,Standard
ORD-10179,2024-01-24,East,Guwahati,Consumer,Electronics,Accessories,1,26217.13,0.3,18351.99,-431.16,Standard
ORD-10569,2024-01-24,East,Kolkata,Consumer,Clothing,Womenswear,7,2450.15,0.0,17151.04,3160.64,Express
ORD-10232,2024-01-24,North,Jaipur,Consumer,Clothing,Womenswear,2,4090.37,0.0,8180.75,2501.04,Standard
ORD-10153,2024-01-25,North,Lucknow,Corporate,Electronics,Mobiles,4,44717.18,0.2,143094.99,2393.36,Standard
ORD-10068,2024-01-25,North,Lucknow,Corporate,Grocery,Personal Care,6,572.02,0.0,3432.12,701.45,Standard
ORD-10598,2024-01-25,North,Lucknow,Corporate,Furniture,Tables,3,7772.16,0.1,20984.83,917.02,Standard
ORD-11609,2024-01-26,North,Chandigarh,Consumer,Clothing,Footwear,4,2890.97,0.1,10407.49,2112.86,Express
ORD-11424,2024-01-26,East,Kolkata,Corporate,Electronics,Laptops,4,19915.82,0.15,67713.77,5666.15,Express
ORD-10872,2024-01-26,South,Bengaluru,Consumer,Electronics,Cameras,5,31606.71,0.0,158033.54,18587.33,Standard
ORD-11533,2024-01-26,North,Lucknow,Consumer,Clothing,Womenswear,3,437.04,0.0,1311.11,317.03,Express
ORD-10952,2024-01-26,South,Bengaluru,Small Business,Furniture,Bookcases,4,14349.2,0.05,54526.95,5988.87,Standard
ORD-10239,2024-01-26,West,Ahmedabad,Consumer,Grocery,Beverages,1,471.81,0.05,448.22,73.81,Standard
ORD-10663,2024-01-26,North,Chandigarh,Consumer,Grocery,Staples,3,1027.27,0.05,2927.73,533.4,Same Day
ORD-10717,2024-01-28,West,Pune,Corporate,Clothing,Footwear,7,2730.59,0.0,19114.15,5214.86,Standard
ORD-10573,2024-01-28,North,Delhi,Consumer,Furniture,Bookcases,6,14101.91,0.15,71919.73,-857.38,Standard
ORD-11510,2024-01-28,West,Ahmedabad,Corporate,Clothing,Kidswear,4,3621.89,0.3,10141.3,92.81,Express
ORD-10213,2024-01-28,West,Pune,Consumer,Furniture,Storage,4,8488.96,0.0,33955.84,3498.93,Express
ORD-11631,2024-01-28,West,Mumbai,Consumer,Clothing,Womenswear,7,1158.53,0.1,7298.75,1105.15,Express
ORD-11310,2024-01-29,North,Jaipur,Consumer,Clothing,Footwear,6,3039.54,0.0,18237.24,4810.23,Express
ORD-10264,2024-01-29,South,Hyderabad,Corporate,Grocery,Snacks,2,293.85,0.0,587.71,120.5,Same Day
ORD-10366,2024-01-29,North,Jaipur,Consumer,Furniture,Tables,2,21987.53,0.1,39577.55,3375.81,Standard
ORD-10391,2024-01-30,West,Pune,Consumer,Electronics,Cameras,2,37887.64,0.05,71986.51,9439.28,Standard
ORD-11249,2024-01-30,North,Lucknow,Consumer,Electronics,Laptops,1,25781.32,0.1,23203.19,2147.3,Standard
ORD-10133,2024-01-30,North,Chandigarh,Corporate,Clothing,Womenswear,6,3313.18,0.0,19879.11,4303.7,Standard
ORD-10845,2024-01-30,East,Kolkata,Corporate,Furniture,Tables,1,20896.43,0.2,16717.15,211.88,Standard
ORD-10276,2024-01-31,West,Surat,Small Business,Electronics,Cameras,5,43208.41,0.05,205239.94,26093.22,Express
ORD-10804,2024-01-31,East,Bhubaneswar,Small Business,Electronics,Laptops,4,40972.22,0.1,147499.99,15641.2,Express
ORD-10563,2024-01-31,North,Lucknow,Small Business,Grocery,Personal Care,2,905.52,0.05,1720.49,264.57,Standard
ORD-11335,2024-02-01,East,Bhubaneswar,Consumer,Clothing,Womenswear,1,3696.24,0.2,2956.99,171.59,Express
ORD-10638,2024-02-01,North,Delhi,Consumer,Clothing,Menswear,2,2422.16,0.0,4844.32,427.88,Same Day
ORD-11770,2024-02-01,East,Guwahati,Corporate,Furniture,Tables,6,12693.99,0.0,76163.94,6313.55,Standard
ORD-11416,2024-02-01,East,Bhubaneswar,Consumer,Electronics,Mobiles,5,2437.91,0.05,11580.05,856.19,Standard
ORD-10914,2024-02-01,North,Jaipur,Consumer,Electronics,Laptops,2,4402.3,0.05,8364.37,761.4,Standard
ORD-10836,2024-02-02,North,Chandigarh,Consumer,Office Supplies,Paper,4,957.72,0.05,3639.32,481.75,Standard
ORD-11044,2024-02-02,West,Ahmedabad,Consumer,Furniture,Tables,6,12035.06,0.3,50547.27,-2305.68,Standard
ORD-10378,2024-02-02,West,Ahmedabad,Consumer,Electronics,Cameras,5,7068.2,0.05,33573.96,2053.34,Standard
ORD-11245,2024-02-02,West,Ahmedabad,Corporate,Clothing,Womenswear,6,653.2,0.3,2743.42,195.2,Express
ORD-11277,2024-02-02,South,Kochi,Small Business,Furniture,Tables,2,12921.32,0.05,24550.51,1552.89,Standard
ORD-10049,2024-02-02,North,Delhi,Corporate,Electronics,Mobiles,5,44132.97,0.1,198598.36,15106.86,Standard
ORD-11682,2024-02-03,South,Hyderabad,Small Business,Furniture,Bookcases,5,8954.49,0.15,38056.59,953.57,Standard
ORD-10966,2024-02-03,South,Kochi,Consumer,Grocery,Beverages,1,117.98,0.0,117.98,24.52,Standard
ORD-10621,2024-02-04,South,Bengaluru,Corporate,Grocery,Beverages,7,858.24,0.1,5406.94,751.9,Standard
ORD-10322,2024-02-04,South,Bengaluru,Small Business,Office Supplies,Paper,3,1967.4,0.2,4721.76,40.81,Standard
ORD-10741,2024-02-05,North,Jaipur,Small Business,Grocery,Beverages,4,755.19,0.05,2869.74,509.61,Express
ORD-10250,2024-02-05,South,Hyderabad,Consumer,Office Supplies,Paper,4,2734.8,0.15,9298.34,924.14,Express
ORD-10833,2024-02-05,West,Ahmedabad,Consumer,Grocery,Beverages,5,594.98,0.0,2974.92,492.2,Standard
ORD-10913,2024-02-05,North,Delhi,Small Business,Office Supplies,Paper,4,2025.16,0.05,7695.61,774.92,Same Day
ORD-11141,2024-02-06,East,Kolkata,Corporate,Furniture,Chairs,6,18750.43,0.0,112502.58,12980.15,Express
ORD-11502,2024-02-06,West,Pune,Small Business,Furniture,Tables,2,4166.87,0.15,7083.68,-97.21,Same Day
ORD-10665,2024-02-06,South,Kochi,Consumer,Clothing,Menswear,1,2733.61,0.0,2733.61,710.03,Express
ORD-11093,2024-02-06,North,Chandigarh,Small Business,Clothing,Menswear,4,1027.86,0.05,3905.87,804.03,Standard
ORD-11737,2024-02-07,South,Hyderabad,Corporate,Office Supplies,Paper,2,1039.39,0.15,1766.96,95.91,Standard
ORD-10606,2024-02-07,North,Jaipur,Small Business,Electronics,Cameras,4,5432.2,0.1,19555.91,1860.28,Standard
ORD-10762,2024-02-07,South,Hyderabad,Corporate,Electronics,Cameras,3,30890.81,0.0,92672.42,10799.83,Standard
ORD-10847,2024-02-08,East,Guwahati,Consumer,Furniture,Bookcases,5,15548.4,0.0,77742.02,5910.39,Standard
ORD-10348,2024-02-08,North,Jaipur,Corporate,Furniture,Chairs,3,4550.8,0.3,9556.69,-477.83,Express
ORD-11612,2024-02-09,West,Surat,Corporate,Grocery,Beverages,7,932.65,0.15,5549.25,566.46,Standard
ORD-10210,2024-02-09,North,Delhi,Consumer,Furniture,Chairs,2,14738.92,0.0,29477.83,2798.64,Standard
ORD-11023,2024-02-09,West,Surat,Corporate,Office Supplies,Stationery,6,2358.13,0.05,13441.33,1822.09,Standard
ORD-10675,2024-02-09,North,Delhi,Consumer,Clothing,Menswear,5,4387.09,0.05,20838.7,4040.49,Express
ORD-11355,2024-02-10,West,Ahmedabad,Consumer,Grocery,Beverages,4,1087.37,0.1,3914.53,477.15,Standard
ORD-10257,2024-02-10,South,Bengaluru,Consumer,Grocery,Personal Care,4,1385.33,0.0,5541.31,1018.53,Standard
ORD-10028,2024-02-10,East,Kolkata,Corporate,Electronics,Cameras,6,36965.71,0.0,221794.27,42553.65,Standard
ORD-10673,2024-02-11,North,Delhi,Small Business,Grocery,Snacks,4,968.7,0.05,3681.05,579.25,Standard
ORD-11283,2024-02-11,North,Jaipur,Consumer,Office Supplies,Storage Bins,3,2711.75,0.15,6914.95,578.68,Standard
ORD-10259,2024-02-11,East,Patna,Consumer,Clothing,Menswear,7,1915.24,0.1,12066.03,2365.92,Standard
ORD-11185,2024-02-11,East,Guwahati,Consumer,Clothing,Womenswear,7,3986.75,0.05,26511.92,4461.34,Express
ORD-10991,2024-02-11,West,Mumbai,Corporate,Furniture,Tables,7,3818.66,0.0,26730.65,1976.81,Express
ORD-11503,2024-02-11,South,Hyderabad,Corporate,Office Supplies,Storage Bins,6,2162.49,0.0,12974.96,1870.17,Standard
ORD-11691,2024-02-12,North,Jaipur,Corporate,Electronics,Cameras,7,11736.39,0.0,82154.76,9996.37,Standard
ORD-11354,2024-02-12,East,Guwahati,Consumer,Electronics,Mobiles,5,39063.36,0.05,185550.94,10663.15,Standard
ORD-10592,2024-02-12,West,Pune,Corporate,Electronics,Accessories,7,26710.42,0.0,186972.96,28375.36,Express
ORD-10123,2024-02-12,West,Mumbai,Consumer,Furniture,Tables,5,20584.21,0.3,72044.72,-3602.24,Express
ORD-10736,2024-02-13,East,Guwahati,Consumer,Electronics,Accessories,3,28716.52,0.0,86149.55,10350.72,Same Day
ORD-10624,2024-02-13,North,Delhi,Consumer,Furniture,Chairs,3,4693.18,0.05,13375.57,966.05,Express
ORD-10467,2024-02-13,North,Lucknow,Small Business,Electronics,Accessories,4,9325.96,0.1,33573.45,3438.1,Express
ORD-10211,2024-02-13,North,Jaipur,Corporate,Electronics,Accessories,5,20677.34,0.05,98217.34,11267.2,Express
ORD-11170,2024-02-14,North,Jaipur,Corporate,Electronics,Mobiles,6,41481.46,0.05,236444.35,34891.52,Express
ORD-11340,2024-02-14,North,Chandigarh,Corporate,Grocery,Snacks,6,972.44,0.0,5834.62,1497.05,Standard
ORD-10577,2024-02-14,South,Bengaluru,Consumer,Electronics,Cameras,1,41928.94,0.0,41928.94,8423.99,Standard
ORD-11356,2024-02-15,South,Kochi,Small Business,Clothing,Menswear,4,4196.46,0.0,16785.84,3597.51,Same Day
ORD-10440,2024-02-16,North,Delhi,Consumer,Office Supplies,Storage Bins,2,1594.35,0.0,3188.7,515.56,Standard
ORD-10286,2024-02-16,West,Surat,Consumer,Electronics,Mobiles,7,2339.56,0.15,13920.4,540.91,Standard
ORD-11581,2024-02-16,East,Patna,Corporate,Grocery,Personal Care,4,948.14,0.0,3792.56,723.81,Express
ORD-11246,2024-02-17,West,Pune,Consumer,Grocery,Staples,6,274.79,0.15,1401.45,85.6,Express
ORD-10897,2024-02-17,East,Kolkata,Consumer,Electronics,Cameras,7,3153.62,0.15,18764.06,1355.53,Standard
ORD-11766,2024-02-17,West,Ahmedabad,Small Business,Furniture,Tables,2,14312.91,0.05,27194.53,1881.88,Standard
ORD-11425,2024-02-17,West,Mumbai,Corporate,Electronics,Cameras,7,28821.54,0.0,201750.8,34844.14,Standard
ORD-10518,2024-02-17,West,Pune,Small Business,Clothing,Kidswear,1,856.6,0.0,856.6,199.91,Same Day
ORD-10817,2024-02-18,North,Jaipur,Small Business,Clothing,Menswear,6,2648.3,0.0,15889.78,3848.0,Standard
ORD-10361,2024-02-18,South,Kochi,Corporate,Electronics,Cameras,3,25960.86,0.0,77882.59,10068.73,Standard
ORD-10060,2024-02-18,North,Jaipur,Corporate,Office Supplies,Storage Bins,1,1377.84,0.05,1308.95,231.61,Standard
ORD-10442,2024-02-19,North,Lucknow,Consumer,Office Supplies,Paper,7,2940.09,0.05,19551.58,2406.18,Standard
ORD-10464,2024-02-19,West,Surat,Corporate,Electronics,Cameras,1,4248.96,0.05,4036.51,543.04,Standard
ORD-10529,2024-02-19,East,Kolkata,Consumer,Furniture,Storage,1,2482.47,0.05,2358.34,115.94,Express
ORD-10305,2024-02-19,West,Pune,Small Business,Electronics,Cameras,2,32911.74,0.15,55949.95,5145.95,Express
ORD-11391,2024-02-19,East,Bhubaneswar,Consumer,Furniture,Tables,6,18790.75,0.0,112744.5,11357.12,Standard
ORD-10723,2024-02-20,North,Lucknow,Consumer,Office Supplies,Stationery,3,137.6,0.05,392.17,39.17,Same Day
ORD-10013,2024-02-21,South,Hyderabad,Consumer,Furniture,Tables,5,13224.47,0.1,59510.1,4806.97,Standard
ORD-11077,2024-02-22,North,Jaipur,Corporate,Grocery,Staples,1,772.67,0.0,772.67,181.99,Standard
ORD-10780,2024-02-22,West,Ahmedabad,Consumer,Grocery,Snacks,7,1017.45,0.0,7122.15,1514.26,Same Day
ORD-10760,2024-02-22,North,Lucknow,Consumer,Electronics,Mobiles,1,10723.37,0.2,8578.69,-108.24,Standard
ORD-10398,2024-02-23,East,Guwahati,Consumer,Electronics,Laptops,6,15569.52,0.15,79404.53,4820.07,Same Day
ORD-10861,2024-02-23,North,Lucknow,Small Business,Office Supplies,Art Supplies,5,213.51,0.0,1067.56,139.66,Express
ORD-10640,2024-02-23,South,Bengaluru,Small Business,Electronics,Accessories,5,25245.38,0.1,113604.21,2313.4,Same Day
ORD-11761,2024-02-24,West,Pune,Small Business,Grocery,Staples,5,952.47,0.2,3809.87,367.81,Standard
ORD-11336,2024-02-24,East,Patna,Consumer,Clothing,Kidswear,5,2468.35,0.0,12341.77,2401.95,Same Day
ORD-10260,2024-02-24,West,Pune,Consumer,Grocery,Snacks,1,1304.82,0.15,1109.1,70.21,Standard
ORD-11003,2024-02-24,North,Delhi,Corporate,Electronics,Mobiles,3,44661.42,0.05,127285.06,17064.68,Same Day
ORD-10045,2024-02-25,West,Surat,Small Business,Electronics,Accessories,7,30356.99,0.1,191249.05,11256.88,Standard
ORD-10195,2024-02-25,North,Jaipur,Consumer,Office Supplies,Art Supplies,3,557.26,0.0,1671.77,363.92,Standard
ORD-10439,2024-02-25,South,Chennai,Consumer,Electronics,Mobiles,5,13194.56,0.0,65972.79,7013.22,Standard
ORD-10437,2024-02-25,West,Mumbai,Small Business,Clothing,Footwear,2,4015.05,0.0,8030.1,1861.73,Standard
ORD-10129,2024-02-26,North,Delhi,Consumer,Grocery,Beverages,6,845.3,0.15,4311.02,395.97,Express
ORD-10587,2024-02-26,West,Surat,Corporate,Clothing,Womenswear,7,1389.78,0.0,9728.47,1945.9,Express
ORD-11695,2024-02-26,South,Kochi,Corporate,Electronics,Cameras,6,18950.36,0.1,102331.92,9279.78,Standard
ORD-10602,2024-02-26,North,Lucknow,Corporate,Furniture,Storage,5,9908.26,0.1,44587.18,2441.5,Standard
ORD-10253,2024-02-27,South,Chennai,Small Business,Electronics,Cameras,3,32025.46,0.0,96076.39,10849.41,Express
ORD-10408,2024-02-27,North,Chandigarh,Consumer,Electronics,Cameras,3,22532.59,0.0,67597.78,12420.76,Same Day
ORD-10354,2024-02-27,North,Chandigarh,Consumer,Clothing,Menswear,5,1991.02,0.1,8959.59,1422.06,Same Day
ORD-10821,2024-02-28,East,Bhubaneswar,Corporate,Clothing,Kidswear,2,3536.45,0.1,6365.61,1242.02,Express
ORD-10203,2024-02-28,East,Patna,Consumer,Office Supplies,Storage Bins,4,591.8,0.0,2367.2,357.39,Standard
ORD-10038,2024-02-28,South,Kochi,Corporate,Grocery,Personal Care,7,439.8,0.1,2770.77,428.53,Standard
ORD-11702,2024-02-28,East,Patna,Consumer,Electronics,Accessories,5,40365.97,0.1,181646.86,20661.34,Standard
ORD-11496,2024-02-28,West,Pune,Corporate,Clothing,Kidswear,4,1475.54,0.05,5607.05,973.41,Express
ORD-10680,2024-02-28,East,Kolkata,Corporate,Electronics,Mobiles,4,9491.62,0.0,37966.47,5571.71,Express
ORD-10338,2024-02-29,North,Lucknow,Corporate,Clothing,Kidswear,7,1419.57,0.15,8446.42,763.21,Express
ORD-11453,2024-02-29,South,Kochi,Consumer,Furniture,Tables,6,3577.18,0.05,20389.94,1941.58,Standard
ORD-11716,2024-02-29,South,Hyderabad,Consumer,Furniture,Storage,6,3231.26,0.0,19387.56,1930.36,Standard
ORD-11642,2024-02-29,South,Bengaluru,Consumer,Office Supplies,Paper,2,2620.76,0.0,5241.52,719.0,Express
ORD-11063,2024-02-29,North,Lucknow,Small Business,Clothing,Footwear,6,961.64,0.1,5192.86,1139.51,Express
ORD-11511,2024-03-01,North,Jaipur,Corporate,Clothing,Footwear,2,3903.07,0.2,6244.92,610.11,Standard
ORD-10747,2024-03-01,South,Hyderabad,Corporate,Furniture,Tables,1,1078.54,0.0,1078.54,44.79,Standard
ORD-10306,2024-03-02,East,Bhubaneswar,Consumer,Clothing,Kidswear,4,3076.43,0.2,9844.57,1334.77,Standard
ORD-11699,2024-03-02,South,Chennai,Corporate,Electronics,Cameras,7,14997.16,0.0,104980.14,18006.29,Standard
ORD-11499,2024-03-02,East,Bhubaneswar,Corporate,Grocery,Snacks,4,397.67,0.0,1590.68,208.78,Standard
ORD-11742,2024-03-02,North,Lucknow,Corporate,Furniture,Bookcases,5,13652.53,0.0,68262.66,4604.06,Standard
ORD-10778,2024-03-02,North,Chandigarh,Consumer,Office Supplies,Storage Bins,7,1051.58,0.05,6993.02,905.42,Standard
ORD-10358,2024-03-02,South,Hyderabad,Consumer,Clothing,Menswear,4,859.7,0.05,3266.88,674.28,Standard
ORD-10138,2024-03-02,South,Chennai,Consumer,Clothing,Womenswear,2,4042.3,0.2,6467.68,210.24,Standard
ORD-10148,2024-03-02,West,Surat,Corporate,Electronics,Cameras,5,39662.86,0.05,188398.57,19304.62,Standard
ORD-11570,2024-03-03,West,Surat,Consumer,Clothing,Kidswear,5,3875.59,0.1,17440.17,2754.59,Standard
ORD-11029,2024-03-03,East,Guwahati,Small Business,Office Supplies,Paper,4,581.64,0.05,2210.24,258.81,Standard
ORD-11197,2024-03-03,South,Hyderabad,Consumer,Electronics,Mobiles,3,42377.91,0.15,108063.68,7170.91,Standard
ORD-10465,2024-03-03,West,Pune,Consumer,Clothing,Footwear,1,4026.9,0.0,4026.9,593.73,Express
ORD-11782,2024-03-03,North,Lucknow,Consumer,Clothing,Footwear,4,703.86,0.0,2815.45,641.74,Standard
ORD-10141,2024-03-04,West,Pune,Small Business,Clothing,Womenswear,1,1716.45,0.0,1716.45,464.31,Standard
ORD-11110,2024-03-04,South,Hyderabad,Corporate,Clothing,Menswear,1,1062.93,0.2,850.34,90.07,Express
ORD-11208,2024-03-04,North,Chandigarh,Consumer,Office Supplies,Paper,3,2297.93,0.0,6893.78,1116.26,Standard
ORD-10633,2024-03-04,East,Bhubaneswar,Consumer,Grocery,Personal Care,4,1475.87,0.1,5313.12,877.0,Express
ORD-10605,2024-03-05,North,Chandigarh,Corporate,Electronics,Mobiles,1,31216.81,0.0,31216.81,5429.94,Standard
ORD-10944,2024-03-05,East,Patna,Corporate,Clothing,Kidswear,7,1067.53,0.1,6725.41,1182.71,Standard
ORD-11116,2024-03-05,South,Hyderabad,Consumer,Office Supplies,Stationery,3,2882.7,0.0,8648.09,1528.71,Same Day
ORD-10869,2024-03-06,South,Chennai,Consumer,Grocery,Beverages,2,179.21,0.1,322.57,40.94,Standard
ORD-10830,2024-03-07,South,Bengaluru,Small Business,Electronics,Mobiles,7,44998.99,0.15,267744.01,26473.44,Express
ORD-10174,2024-03-07,South,Chennai,Consumer,Furniture,Tables,4,12550.63,0.15,42672.15,-1733.36,Express
